$SYS/broker/version,mosquitto version 2.0.18
$SYS/broker/load/publish/received/5min,1411727.55
$SYS/broker/load/publish/sent/5min,1362397.11
$SYS/broker/load/bytes/received/5min,33032922.52
$SYS/broker/load/bytes/sent/5min,31899584.32
$SYS/broker/load/sockets/5min,0.88
$SYS/broker/load/connections/5min,0.88
$SYS/broker/load/messages/received/15min,883545.91
$SYS/broker/load/messages/sent/15min,855650.90
$SYS/broker/load/publish/received/15min,880800.80
$SYS/broker/load/publish/sent/15min,847382.54
$SYS/broker/load/bytes/received/15min,20611918.54
$SYS/broker/load/bytes/sent/15min,19854640.49
$SYS/broker/messages/stored,51
$SYS/broker/store/messages/count,51
$SYS/broker/store/messages/bytes,345
$SYS/broker/messages/received,47329293
$SYS/broker/messages/sent,50550917
$SYS/broker/publish/messages/received,45314196
$SYS/broker/publish/messages/sent,43560436
$SYS/broker/bytes/received,1076650862
$SYS/broker/bytes/sent,1045937708
$SYS/broker/publish/bytes/received,288275471
$SYS/broker/publish/bytes/sent,277276893
$SYS/broker/uptime,7029 seconds
$SYS/broker/load/messages/received/1min,2036298.99
$SYS/broker/load/messages/sent/1min,2033128.68
$SYS/broker/load/publish/received/1min,2035796.11
$SYS/broker/load/publish/sent/1min,2032865.12
$SYS/broker/load/bytes/received/1min,47649468.28
$SYS/broker/load/bytes/sent/1min,47585578.83
$SYS/broker/load/sockets/1min,0.46
$SYS/broker/load/connections/1min,0.46
$SYS/broker/load/messages/received/5min,1441863.11
$SYS/broker/load/messages/sent/5min,1394239.05
$SYS/broker/load/publish/received/5min,1441637.12
$SYS/broker/load/publish/sent/5min,1394082.70
$SYS/broker/load/bytes/received/5min,33700566.23
$SYS/broker/load/bytes/sent/5min,32608031.13
$SYS/broker/load/sockets/5min,0.85
$SYS/broker/load/connections/5min,0.85
$SYS/broker/load/messages/received/15min,900054.13
$SYS/broker/load/messages/sent/15min,872497.98
$SYS/broker/load/publish/received/15min,897342.36
$SYS/broker/load/publish/sent/15min,864330.06
$SYS/broker/load/bytes/received/15min,20988080.24
$SYS/broker/load/bytes/sent/15min,20240001.48
$SYS/broker/messages/stored,74
$SYS/broker/store/messages/count,74
$SYS/broker/store/messages/bytes,558
$SYS/broker/messages/received,47740416
$SYS/broker/messages/sent,50962040
$SYS/broker/publish/messages/received,45725319
$SYS/broker/publish/messages/sent,43971559
$SYS/broker/bytes/received,1086106691
$SYS/broker/bytes/sent,1055393537
$SYS/broker/publish/bytes/received,290742209
$SYS/broker/publish/bytes/sent,279743631
$SYS/broker/uptime,7040 seconds
$SYS/broker/load/messages/received/1min,2074770.28
$SYS/broker/load/messages/sent/1min,2072131.03
$SYS/broker/load/publish/received/1min,2074351.63
$SYS/broker/load/publish/sent/1min,2071911.61
$SYS/broker/load/bytes/received/1min,48593095.69
$SYS/broker/load/bytes/sent/1min,48539908.33
